tol,oriSize,compressedsize,psnr,comp_ratio,is_quantimized,time
1e-05,1073741824,516612451,117.39339870783965,2.0776589838714514,No,2.771015167236328
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1459953784942627
1e-05,2147483648,1042579859,118.17591492218904,2.0540865944351605,No,5.368382692337036
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.287386178970337
1e-05,4294967296,2766447413,124.4773847052398,1.5479768919070358,No,16.729395866394043
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.66769289970398
5e-05,1073741824,328725579,103.41370083139688,3.265168786880439,No,3.2674057483673096
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1611645221710205
5e-05,2147483648,661156283,104.19631431318825,3.2390969685453324,No,5.325198411941528
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.360387802124023
5e-05,4294967296,1603978301,110.49793216245654,2.669859477107727,No,16.817408800125122
0,8589934592,2141198334,86.6335678100586,2.0,Yes,9.99669075012207
0.0001,1073741824,278997483,97.39304881210887,3.847147610288656,No,3.207829713821411
0,2147483648,536672250,85.523681640625,2.0,Yes,2.4278769493103027
0.0001,2147483648,560940979,98.17607145649085,3.817780109090586,No,5.214112043380737
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.28780722618103
0.0001,4294967296,1342334629,104.47754364940104,3.190260144886719,No,15.845417499542236
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.639275550842285
0.0005,1073741824,186944291,83.42374772853569,5.741520611613649,No,3.2936513423919678
0,2147483648,536672250,85.523681640625,2.0,Yes,2.161513090133667
0.0005,2147483648,376258819,84.20521547769124,5.691692005231112,No,5.262607097625732
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.291677474975586
0.0005,4294967296,914715461,90.49814793327542,4.6816708042939705,No,14.150483846664429
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.609809160232544
0.001,1073741824,152012739,77.4732073298858,7.06088520646944,No,3.29460072517395
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1630194187164307
0.001,2147483648,310822059,78.24769811063604,6.889952788067722,No,5.275951147079468
