tol,oriSize,compressedsize,psnr,max_error,comp_ratio,is_quantimized,time
1e-05,1073741824,516612451,117.39339870783965,1.2404223439677065e-05,2.0776589838714514,No,2.7759907245635986
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1660823822021484
1e-05,2147483648,1042579859,118.17591492218904,2.2540097713935614e-05,2.0540865944351605,No,5.24354100227356
1e-05,4294967296,2766447413,124.4773847052398,1.3108561508413073e-05,1.5479768919070358,No,14.047730207443237
5e-05,1073741824,328725579,103.41370083139688,6.429297559473746e-05,3.265168786880439,No,3.2516653537750244
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.151940107345581
5e-05,2147483648,661156283,104.19631431318825,0.0001000951551728968,3.2390969685453324,No,5.251449346542358
5e-05,4294967296,1603978301,110.49793216245654,6.024842946325548e-05,2.669859477107727,No,13.848593711853027
0.0001,1073741824,278997483,97.39304881210887,0.00011528611082600726,3.847147610288656,No,3.2369658946990967
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1539084911346436
0.0001,2147483648,560940979,98.17607145649085,0.00020452898157122257,3.817780109090586,No,5.18693208694458
0.0001,4294967296,1342334629,104.47754364940104,0.00014162896803082692,3.190260144886719,No,13.83052921295166
0.0005,1073741824,186944291,83.42374772853569,0.0006220685573764856,5.741520611613649,No,3.216073989868164
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1556289196014404
0.0005,2147483648,376258819,84.20521547769124,0.001123203636067438,5.691692005231112,No,5.198096036911011
0.0005,4294967296,914715461,90.49814793327542,0.0006436553623279662,4.6816708042939705,No,13.859559774398804
0.001,1073741824,152012739,77.4732073298858,0.0013223234680593277,7.06088520646944,No,3.1941163539886475
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1456949710845947
0.001,2147483648,310822059,78.24769811063604,0.0018760187730657678,6.889952788067722,No,5.1567604541778564
0.001,4294967296,765424741,84.48348384904678,0.0014988925669948555,5.594797814354945,No,13.892302989959717
0.005,1073741824,80113635,64.91084695268499,0.005659054045464074,13.39777554719618,No,3.2191250324249268
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1515440940856934
0.005,2147483648,162033339,65.63268251308092,0.008215742746620958,13.216720245455166,No,5.14428186416626
0.005,4294967296,452057581,70.94916005969932,0.005465937017927802,9.473122115388216,No,13.730334520339966
0.01,1073741824,60688411,60.58117196515225,0.01178581804324319,17.68615263299611,No,3.2208573818206787
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.155729293823242
0.01,2147483648,122461219,61.27058577412541,0.016685629364602717,17.48757140821863,No,5.197601318359375
0.01,4294967296,332661157,65.79997359253977,0.011295850389686779,12.873149082446076,No,13.758763551712036
0.02,1073741824,48807187,56.934628099874665,0.021914476992500542,21.99152555134964,No,3.2033345699310303
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.147369623184204
0.02,2147483648,98192395,57.62092211906075,0.03282173115249276,21.80972683271449,No,5.142405033111572
0.02,4294967296,250654469,61.36111691813233,0.023215345565665763,17.084860625405405,No,14.0683274269104
0.03,1073741824,44383371,55.0625602251871,0.029600959743613882,24.183483043683186,No,3.2282800674438477
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1557939052581787
0.03,2147483648,89107323,55.75114390123858,0.03490383846868787,24.033370545763113,No,5.193486928939819
0.03,4294967296,217611885,59.12882761758198,0.03222941989529035,19.679056904451702,No,13.826460599899292
0.05,1073741824,40570667,52.89870215170289,0.04422987517086811,26.45617090791236,No,3.232117176055908
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1541693210601807
0.05,2147483648,81283299,53.58165127114205,0.05434212899742408,26.346732211250433,No,5.1813132762908936
0.05,4294967296,188387525,56.59077153773158,0.06148544268419365,22.731848449094493,No,13.775347471237183
0.1,1073741824,37442291,50.0351798986673,0.08560524594589014,28.66663527613735,No,3.245453357696533
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1601295471191406
0.1,2147483648,74854219,50.6190724085791,0.0981845503271721,28.609600642550287,No,5.183546543121338
0.1,4294967296,164155469,53.59503341229156,0.1025354494661872,26.087444384810595,No,13.855919599533081
0.5,1073741824,34602739,43.33697894893617,0.3156368500154687,31.019061814730907,No,3.2250006198883057
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.153648614883423
0.5,2147483648,69022699,44.12681908280403,0.36129831618191,31.026739652704684,No,5.143109083175659
0.5,4294967296,141688309,46.9418292993016,0.2844550279894689,30.22406504971416,No,13.678338766098022
1,1073741824,34198227,40.187961036786334,0.5397450863501669,31.385969219983245,No,3.21581768989563
0,2147483648,536672250,85.523681640625,0.0009765625,2.0,Yes,2.1553478240966797
1,2147483648,68186675,41.322809926488176,0.5368294461526752,31.407152673157917,No,5.188398361206055
1,4294967296,138357557,44.18206494653654,0.41587091565805934,30.951664374935444,No,13.832475423812866
