tol,oriSize,compressedsize,psnr,max_error,rmse,comp_ratio,method,time,timespte
1e-05,1073741824,523094035,117.43339789058567,1.248699903055872e-05,1.9305950316271153e-06,2.051915006065783,MGARD,5.599234104156494,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1429784297943115,62
1e-05,2147483648,1051047067,117.8933760103949,2.4544429374606658e-05,2.0113378786854454e-06,2.0375389259328003,MGARD,9.101204633712769,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.324272155761719,62
1e-05,4294967296,2777304941,124.1398360621848,1.2764804626586024e-05,9.79855489362101e-07,1.5419252689112615,MGARD,23.796791315078735,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,9.962428569793701,62
5e-05,1073741824,331586243,103.45452535321209,6.137632770919499e-05,9.65250431681762e-06,3.2369994915621394,MGARD,5.667176723480225,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.507284641265869,62
5e-05,2147483648,665117371,103.91405208493086,0.00010871389772115769,1.005660121285244e-05,3.2198066166580395,MGARD,8.680810451507568,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.30379056930542,62
5e-05,4294967296,1608313117,110.16023004126284,7.078978967939298e-05,4.899393605407021e-06,2.662663521633145,MGARD,20.55101203918457,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.638535737991333,62
0.0001,1073741824,281316051,97.4331905954167,0.00011856363388984548,1.9306411072527056e-05,3.8154399515582567,MGARD,5.484310626983643,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1700398921966553,62
0.0001,2147483648,564178699,97.89321200966728,0.00019591344814129386,2.0113957286483497e-05,3.7958705562543757,MGARD,8.598461627960205,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.309865236282349,62
0.0001,4294967296,1345450133,104.13972980563926,0.00012605689584746504,9.798674762397402e-06,3.1828728266958373,MGARD,20.56242084503174,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.602617025375366,62
0.0005,1073741824,188698667,83.46156455560417,0.0007641871061597749,9.644569587312753e-05,5.688140340705216,MGARD,5.49015998840332,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1628692150115967,62
0.0005,2147483648,378784459,83.9206690429193,0.001047727260852227,0.00010048980644465656,5.653741227012695,MGARD,8.561754703521729,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.309894800186157,62
0.0005,4294967296,917011221,90.1610596923349,0.0007757400928168345,4.8990175456018784e-05,4.669950127033396,MGARD,20.30395483970642,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.653064012527466,62
0.001,1073741824,153705859,77.50815168774292,0.0010623586053715162,0.00019142845579857642,6.983107260732331,MGARD,5.443994522094727,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1642966270446777,62
0.001,2147483648,313644611,77.95935473999565,0.001860417539557152,0.00019961174722191513,6.827948693816391,MGARD,8.4743173122406,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.316547155380249,62
0.001,4294967296,767455165,84.1458258490853,0.001192183664844082,9.791927670752217e-05,5.579995892007581,MGARD,20.37176823616028,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.632387638092041,62
0.005,1073741824,81275003,64.89248189998816,0.005114666863708761,0.0008179692617326571,13.206329872420921,MGARD,5.413178443908691,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1619625091552734,62
0.005,2147483648,163757067,65.30541542205843,0.009715994888648077,0.0008569742618407479,13.077599344155328,MGARD,8.394439697265625,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.3067755699157715,62
0.005,4294967296,454015757,70.60661133826099,0.007651578804240333,0.0004654606853225274,9.432264413677608,MGARD,20.313013553619385,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.63088321685791,62
0.01,1073741824,61492787,60.51315270290616,0.011623001120661058,0.0013551192993343706,17.45480327635825,MGARD,5.389173269271851,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1692841053009033,62
0.01,2147483648,123622483,60.9096905076356,0.015476577776198902,0.0014221086547805005,17.323299613711853,MGARD,8.41548752784729,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.310944318771362,62
0.01,4294967296,334094757,65.44617818017188,0.011937100090691266,0.0008436349432761649,12.81791042294028,MGARD,20.274113178253174,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.675288438796997,62
0.02,1073741824,49301179,56.839304857672786,0.01985729159546723,0.0020672634958672676,21.771173058559107,MGARD,5.376622676849365,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1687381267547607,62
0.02,2147483648,98833715,57.24260412657324,0.023611051216270884,0.0021709485632538444,21.66820615819207,MGARD,8.411346197128296,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.318727016448975,62
0.02,4294967296,251623733,60.99211590419797,0.0245489785829167,0.0014085383779794027,17.01904910535605,MGARD,20.075292825698853,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.662427186965942,62
0.03,1073741824,44735203,54.9585666995224,0.02732648655550496,0.0025697942329820454,23.993285556343626,MGARD,5.551900625228882,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1457269191741943,62
0.03,2147483648,89568635,55.38506523985419,0.03639769569314229,0.0026993313117804614,23.909589690632217,MGARD,8.391004085540771,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.308960914611816,62
0.03,4294967296,218351325,58.754312494030174,0.03710081307313129,0.001826180525461541,19.612414387684616,MGARD,20.42161726951599,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.630914688110352,62
0.05,1073741824,40798147,52.733071316910404,0.04102153251749363,0.0033230669737314834,26.308658086848894,MGARD,5.39585280418396,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1785666942596436,62
0.05,2147483648,81573747,53.15147329442386,0.05735756792260127,0.0034908071757805428,26.252923161663766,MGARD,8.394485712051392,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.286087274551392,62
0.05,4294967296,188847501,56.2318402046425,0.043448651209762816,0.002443135876886715,22.67648046875664,MGARD,20.312628507614136,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.638638257980347,62
0.1,1073741824,37567515,49.97172552499223,0.10733579056912607,0.004669499260590349,28.571080626440157,MGARD,5.308208703994751,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.1647260189056396,62
0.1,2147483648,75012795,50.196964986399415,0.10583622866890574,0.00490121238253487,28.549120346735513,MGARD,8.349889039993286,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.313489675521851,62
0.1,4294967296,164394829,53.176424159848466,0.09198890642359549,0.0034790723205223566,26.04946088663166,MGARD,20.52914786338806,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.661989212036133,62
0.5,1073741824,34634203,42.898188121171536,0.32354679991665425,0.010327410905261286,30.99088204801479,MGARD,5.380049467086792,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.167402982711792,62
0.5,2147483648,69059859,43.69639201546953,0.3018027551904885,0.010801552041599214,31.010044662848212,MGARD,8.374140501022339,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.281981945037842,62
0.5,4294967296,141748045,46.412873656293286,0.28624774868351643,0.007614745522197264,30.211327909319667,MGARD,20.03015398979187,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.653760194778442,62
1,1073741824,34212139,40.36848619113819,0.48392023418284813,0.014628022309242344,31.373206451663254,MGARD,5.302957773208618,62
0,1073741824,536672250,85.57561874389648,0.0013885498,7.561018e-05,2.0,numpy,2.175367832183838,62
1,2147483648,68203587,40.412102124990085,0.6235323296841514,0.015290279062391205,31.39936484572285,MGARD,8.734111785888672,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,7.839956e-05,2.0,numpy,4.305085182189941,62
1,4294967296,138387237,43.722422708254136,0.4389906392671292,0.010702408999405227,30.945026151508465,MGARD,19.686421394348145,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,7.642111e-05,2.0,numpy,8.659183263778687,62
