tol,oriSize,compressedsize,psnr,max_error,rmse,comp_ratio,method,time
1e-05,67108864,36846931,115.9923377757093,1.5144729332228213e-05,1.9274784339933085e-06,1.8212877484966115,MGARD,0.24055933952331543
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08351635932922363
5e-05,67108864,22585275,102.01211686552234,8.033894121639573e-05,9.638263507244103e-06,2.9713547433006684,MGARD,0.23299384117126465
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08342337608337402
0.0001,67108864,19098419,95.99160895852802,0.00015178198361015527,1.9276297626211054e-05,3.5138439469780196,MGARD,0.23192262649536133
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08368968963623047
0.0005,67108864,12997947,82.0152468325384,0.000689513781004264,9.634778381415353e-05,5.163035670171605,MGARD,0.22545075416564941
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08358168601989746
0.001,67108864,10762603,76.01842505160967,0.0014793217534641578,0.00019224156325149726,6.235374843799404,MGARD,0.22309541702270508
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.083587646484375
0.005,67108864,5953507,62.92241468705385,0.007577139443895667,0.0008704519856815518,11.272156730478356,MGARD,0.215132474899292
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08366894721984863
0.01,67108864,4433739,58.18938797945237,0.014559787906275101,0.0014980011879032061,15.135952747782403,MGARD,0.21177315711975098
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08365058898925781
0.02,67108864,3455491,54.28838269726008,0.022267970921381997,0.002357954107840812,19.42093439108943,MGARD,0.20777106285095215
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08355379104614258
0.03,67108864,3081891,52.26926414696443,0.02614794900940498,0.0029679925586786108,21.775223069213027,MGARD,0.2043745517730713
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.0836637020111084
0.05,67108864,2758195,50.002491925847735,0.043894998004386454,0.003866971764210418,24.33071773388031,MGARD,0.20460200309753418
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08384275436401367
0.1,67108864,2491651,47.17643914145068,0.08384440510969338,0.005426158448168117,26.933492692194854,MGARD,0.20120549201965332
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08444547653198242
0.5,67108864,2247539,40.33746094968621,0.24517002375272812,0.011874887728642489,29.85882069232169,MGARD,0.1990203857421875
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08364224433898926
0,67108864,33554432,84.1901969909668,0.0009763241,7.500573e-05,2.0,numpy,0.08367037773132324
